test,classification,why,reached_cage,backend,date,party,total_paise,tax_paise,net_paise,line_items,party_known,period_open,carries_gst,lines_sum_to_total,net_plus_tax_equals_gross,debits_equal_credits,cage_reasons
tests/test_adversarial_amounts_and_states.py::test_an_empty_source_company_may_be_asked_but_proposes_and_writes_nothing,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Gupta Hardware,150000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Gupta Hardware in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹1,500.00 bill from Gupta Hardware."
tests/test_adversarial_amounts_and_states.py::test_a_failed_read_back_is_never_recorded_as_a_posted_entry,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_identity.py::test_a_cyrillic_homoglyph_vendor_never_inherits_the_latin_vendors_account,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_identity.py::test_an_accented_vendor_name_decides_one_way_in_nfc_and_nfd,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09,Café Supplies,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Café Supplies in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_identity.py::test_whitespace_visible_or_invisible_never_changes_which_vendor_this_is,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09, Sharma​Traders​,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma​Traders​ in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_identity.py::test_posting_sharma_trader_never_returns_sharma_traders_account,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09,Sharma Trader,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Trader in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_identity.py::test_an_llp_invoice_is_never_posted_to_the_limited_companys_account,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09,Acme LLP,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Acme LLP in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_identity.py::test_memory_belonging_to_another_company_is_refused_and_writes_nothing,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_identity.py::test_rebuilding_from_the_new_history_replaces_the_old_index_and_never_merges,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,2026-08-09,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish."
tests/test_adversarial_write_path.py::test_a_read_back_with_our_marker_but_not_our_numbers_is_refused,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_a_read_back_must_match_the_voucher_we_sent_and_not_merely_our_marker,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_the_same_operation_posted_twice_leaves_exactly_one_voucher,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_a_write_whose_outcome_is_unknown_leaves_two_rows_naming_the_operation,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_an_unknown_write_outcome_still_records_its_operation_id,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_the_same_run_call_records_a_row_when_nothing_goes_wrong,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_a_read_back_of_zero_vouchers_blocks_the_post_and_writes_no_posted_row,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_a_write_absent_from_tallys_own_register_is_refused,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_a_post_is_not_a_success_until_tallys_own_register_shows_the_voucher,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_the_page_and_the_action_log_can_no_longer_disagree_about_the_backend,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_write_path.py::test_the_recorded_identifier_is_the_one_tally_returned_not_our_own,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_answer_binding.py::test_a_replay_of_the_answer_that_posted_is_still_the_duplicate_refusal,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Gupta Hardware,150000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Gupta Hardware in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹1,500.00 bill from Gupta Hardware."
tests/test_bulk_reversal_web.py::test_the_home_page_offers_bulk_reverse_once_something_is_posted,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_the_preview_names_every_candidate_and_touches_the_books,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_the_preview_page_asks_rather_than_telling,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_a_hand_typed_voucher_is_never_a_candidate,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_confirming_reverses_everything_and_leaves_the_history_alone,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_confirming_records_a_durable_row_for_every_voucher,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_a_partial_result_says_so_on_the_page_and_never_says_done,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_the_untried_vouchers_are_still_in_the_books_after_a_partial_run,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_bulk_reversal_web.py::test_a_latecomer_posted_after_the_preview_is_not_swept_up,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
