at,attempts,candidatesTokenCount,correct,document,false positive,incorrect,invoice_date,invoice_date_why,invoice_number,invoice_number_why,latency_ms,missing,model,party,party_why,promptTokenCount,review-required,sha256,source,tax,tax_why,thoughtsTokenCount,total,totalTokenCount,total_why
2026-08-16T12:08:30+00:00,2,,0,real-voxel51-01,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,56238d4d934c433c,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:08:37+00:00,2,,0,synthetic-012,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,5ddfedaf069cd43a,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:08:43+00:00,2,,0,real-commons-01,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,5fca5eae3d6f1d24,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:08:52+00:00,2,,0,synthetic-045,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,6c1b61047a627404,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:08:58+00:00,2,,0,synthetic-006,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,7454cc51837fd465,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:04+00:00,2,,0,real-voxel51-11,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,7759e1a5b8ab95b9,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:11+00:00,2,,0,synthetic-038,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,79934214599ac579,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:18+00:00,2,,0,synthetic-017,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,7bcc07fca5205a8f,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:24+00:00,2,,0,synthetic-028,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,7c571d96188447ad,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:30+00:00,2,,0,synthetic-021,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,7d55df2ca7abd172,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:36+00:00,2,,0,real-voxel51-05,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,84326ec10c553177,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T10:41:19+00:00,,,5,synthetic-043,0,0,correct,nothing to find (ABSENT) and nothing returned,correct,read 'PAT/2023/1043',9844,0,gemini-3.6-flash,correct,read 'Patel Auto Spares',,0,84d8ff41a8b7510f,called,correct,"read '2,378.52'",,correct,,"read '22,199.52'"
2026-08-16T12:09:43+00:00,2,,0,real-voxel51-09,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,858edc2cb545a613,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:49+00:00,2,,0,synthetic-023,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,8a6965f48c49b28e,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:09:55+00:00,2,,0,synthetic-008,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,8f4bbdfb3d46dd1a,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:10:01+00:00,2,,0,synthetic-003,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,97571dcb0ae8f63a,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:10:07+00:00,2,,0,synthetic-036,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,9cd4e0ca7967439b,CALL_FAILED:HTTPError,,call failed,,,,call failed
