failure_id,test_name,fixture,document_type,expected_status,actual_status,blocking_guard,reason_code,classification,evidence,required_code_change,required_test_change,safety_impact,final_disposition
F-011,tests/test_adversarial_amounts_and_states.py::test_a_sub_paise_amount_is_truncated_by_the_reader_and_refused_by_the_wire,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-012,tests/test_adversarial_amounts_and_states.py::test_an_empty_source_company_may_be_asked_but_proposes_and_writes_nothing,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-013,tests/test_adversarial_identity.py::test_a_cyrillic_homoglyph_vendor_never_inherits_the_latin_vendors_account,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-014,tests/test_adversarial_identity.py::test_an_accented_vendor_name_decides_one_way_in_nfc_and_nfd,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-015,tests/test_adversarial_identity.py::test_an_llp_invoice_is_never_posted_to_the_limited_companys_account,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-016,tests/test_adversarial_identity.py::test_memory_belonging_to_another_company_is_refused_and_writes_nothing,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-017,tests/test_adversarial_identity.py::test_posting_sharma_trader_never_returns_sharma_traders_account,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-018,tests/test_adversarial_identity.py::test_rebuilding_from_the_new_history_replaces_the_old_index_and_never_merges,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-019,tests/test_adversarial_identity.py::test_whitespace_visible_or_invisible_never_changes_which_vendor_this_is,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-020,tests/test_adversarial_write_path.py::test_a_post_is_not_a_success_until_tallys_own_register_shows_the_voucher,unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-021,tests/test_adversarial_write_path.py::test_a_read_back_must_match_the_voucher_we_sent_and_not_merely_our_marker,unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-022,tests/test_adversarial_write_path.py::test_a_read_back_of_zero_vouchers_blocks_the_post_and_writes_no_posted_row,unknown,UNKNOWN,VALID,n/a (never reached),error path needs a post first,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,Failed: DID NOT RAISE RuntimeError,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-023,tests/test_adversarial_write_path.py::test_a_read_back_with_our_marker_but_not_our_numbers_is_refused,unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-024,tests/test_adversarial_write_path.py::test_a_write_absent_from_tallys_own_register_is_refused,unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-025,tests/test_adversarial_write_path.py::test_a_write_whose_outcome_is_unknown_leaves_two_rows_naming_the_operation,unknown,UNKNOWN,VALID,n/a (never reached),"backend-outage test, unrelated to the cage",PRE_EXISTING,UNRELATED_PRE_EXISTING,Failed: DID NOT RAISE ConnectionError,"separate change, unrelated to Problem 1",none,none,OUT OF SCOPE - pre-existing
F-026,tests/test_adversarial_write_path.py::test_an_unknown_write_outcome_still_records_its_operation_id,unknown,UNKNOWN,VALID,n/a (never reached),"backend-outage test, unrelated to the cage",PRE_EXISTING,UNRELATED_PRE_EXISTING,Failed: DID NOT RAISE ConnectionError,"separate change, unrelated to Problem 1",none,none,OUT OF SCOPE - pre-existing
F-027,tests/test_adversarial_write_path.py::test_the_page_and_the_action_log_can_no_longer_disagree_about_the_backend,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-028,tests/test_adversarial_write_path.py::test_the_recorded_identifier_is_the_one_tally_returned_not_our_own,unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-029,tests/test_adversarial_write_path.py::test_the_same_operation_posted_twice_leaves_exactly_one_voucher,unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-030,tests/test_adversarial_write_path.py::test_the_same_run_call_records_a_row_when_nothing_goes_wrong,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-031,tests/test_answer_binding.py::test_a_replay_of_the_answer_that_posted_is_still_the_duplicate_refusal,unknown,UNKNOWN,VALID,n/a (never reached),counts a voucher/row that a block prevented,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,assert 0 == 1,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-032,tests/test_bulk_reversal_web.py::test_a_hand_typed_voucher_is_never_a_candidate,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-033,tests/test_bulk_reversal_web.py::test_a_latecomer_posted_after_the_preview_is_not_swept_up,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-034,tests/test_bulk_reversal_web.py::test_a_partial_result_says_so_on_the_page_and_never_says_done,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-035,tests/test_bulk_reversal_web.py::test_confirming_records_a_durable_row_for_every_voucher,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-036,tests/test_bulk_reversal_web.py::test_confirming_reverses_everything_and_leaves_the_history_alone,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-037,tests/test_bulk_reversal_web.py::test_the_home_page_offers_bulk_reverse_once_something_is_posted,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-038,tests/test_bulk_reversal_web.py::test_the_preview_names_every_candidate_and_touches_the_books,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-039,tests/test_bulk_reversal_web.py::test_the_preview_page_asks_rather_than_telling,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-040,tests/test_bulk_reversal_web.py::test_the_untried_vouchers_are_still_in_the_books_after_a_partial_run,web fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),needs a posted entry that never exists,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: entry did not post:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-041,tests/test_company_identity.py::test_a_non_default_company_can_be_used_end_to_end,unknown,UNKNOWN,VALID,n/a (never reached),asserts on books/pages a post would have produced,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the voucher landed in OUR company's books,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-042,tests/test_company_identity.py::test_a_question_and_its_answer_stay_in_the_configured_company,unknown,UNKNOWN,VALID,n/a (never reached),counts a voucher/row that a block prevented,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,assert 0 == 1,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-043,tests/test_company_identity.py::test_a_request_cannot_name_a_company_of_its_own,unknown,UNKNOWN,VALID,n/a (never reached),asserts on books/pages a post would have produced,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: it went to ours instead,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-044,tests/test_company_identity.py::test_bulk_reversal_previews_the_configured_company,reversal fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),counts a voucher/row that a block prevented,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: assert 0 == 1,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-045,tests/test_company_identity.py::test_reversal_undoes_the_entry_in_the_configured_company,reversal fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),page asserts on a post that never happened,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,"AssertionError: nothing posted, so nothing to undo:",none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-046,tests/test_company_routes.py::test_a_bulk_reversal_previewed_for_another_company_never_reverses_it,reversal fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),page asserts on a post that never happened,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: nothing posted to undo,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-047,tests/test_company_routes.py::test_the_bulk_reversal_preview_lists_only_our_own_vouchers,reversal fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),asserts on books/pages a post would have produced,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: unexpected preview:,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-048,tests/test_company_unicode.py::test_an_nfd_company_name_can_be_worked_in_end_to_end_over_http,unknown,UNKNOWN,VALID,n/a (never reached),counts a voucher/row that a block prevented,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,assert 0 == 1,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-049,tests/test_dismissal_durability.py::test_a_matched_vendor_posts_without_ever_offering_a_flag,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-050,tests/test_error_responses.py::test_a_bulk_reversal_that_meets_a_refusal_never_reports_completed,reversal fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-051,tests/test_error_responses.py::test_a_bulk_reversal_whose_answer_is_unreadable_reports_unknown_not_failed,reversal fixture,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-052,tests/test_error_responses.py::test_a_refused_write_is_never_retried_by_the_pipeline_on_its_own,typed expense sentence,NON_INVOICE_EXPENSE_NOTE,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-053,tests/test_error_responses.py::test_a_refused_write_leaves_the_diagnosis_in_the_durable_log,unknown,UNKNOWN,VALID,n/a (never reached),page asserts on a post that never happened,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,"assert 'data-action=""failed""' in '<section id=log><div class=ev data-outcome=""not_valid"" data-action=""blocked""><b>not_valid</b> <span class=muted>15 A",none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-054,tests/test_error_responses.py::test_a_refused_write_satisfies_all_five_properties[explicit_rejection],unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-055,tests/test_error_responses.py::test_a_refused_write_satisfies_all_five_properties[unknown_outcome],unknown,UNKNOWN,VALID,n/a (never reached),"nothing posts, so no write happens",BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the fixture must reach the write path,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-056,tests/test_error_responses.py::test_a_write_tally_refuses_is_answered_with_a_page_and_not_a_dropped_socket,unknown,UNKNOWN,VALID,n/a (never reached),error path needs a post first,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,assert 200 == 503,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-057,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[authentication failure],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-058,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[connection refused],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-059,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[empty response],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-060,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[malformed response],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-061,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[partial response],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-062,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[rate limit],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-063,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[response for a different document],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-064,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[response missing the named fields],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-065,tests/test_extract_outage.py::test_after_any_outage_the_person_can_type_the_entry_and_it_posts[timeout],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
