document,field,category,why,legible_rows
open-datasets-and-photos-033.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,14
open-datasets-and-photos-033.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,14
open-datasets-and-photos-033.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,14
open-datasets-and-photos-034.jpg,total,IMAGE_QUALITY_FAILURE,only 2 word rows carry characters,2
open-datasets-and-photos-034.jpg,tax,IMAGE_QUALITY_FAILURE,only 2 word rows carry characters,2
open-datasets-and-photos-034.jpg,net,IMAGE_QUALITY_FAILURE,only 2 word rows carry characters,2
open-datasets-and-photos-034.jpg,party,IMAGE_QUALITY_FAILURE,only 2 word rows carry characters,2
open-datasets-and-photos-034.jpg,date,IMAGE_QUALITY_FAILURE,only 2 word rows carry characters,2
open-datasets-and-photos-035.jpg,total,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-035.jpg,tax,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-035.jpg,net,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-035.jpg,party,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-035.jpg,date,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-036.jpg,total,WRONG_FIELD_FAMILY,only date labels are on this page,68
open-datasets-and-photos-036.jpg,tax,WRONG_FIELD_FAMILY,only date labels are on this page,68
open-datasets-and-photos-036.jpg,net,WRONG_FIELD_FAMILY,only date labels are on this page,68
open-datasets-and-photos-036.jpg,party,WRONG_FIELD_FAMILY,only date labels are on this page,68
open-datasets-and-photos-036.jpg,date,PARSER_PATH_FAILURE,"1 located, field still empty",68
open-datasets-and-photos-037.jpg,total,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-037.jpg,tax,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-037.jpg,net,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-037.jpg,party,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-037.jpg,date,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-038.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,42
open-datasets-and-photos-038.jpg,tax,WRONG_FIELD_FAMILY,only total labels are on this page,42
open-datasets-and-photos-038.jpg,net,WRONG_FIELD_FAMILY,only total labels are on this page,42
open-datasets-and-photos-038.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,42
open-datasets-and-photos-038.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,42
open-datasets-and-photos-039.jpg,total,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-039.jpg,tax,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-039.jpg,net,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-039.jpg,party,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-039.jpg,date,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-040.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,81
open-datasets-and-photos-040.jpg,tax,UNKNOWN_LABEL,"page says 'VAT', not in the vocabulary",81
open-datasets-and-photos-040.jpg,net,WRONG_FIELD_FAMILY,only total labels are on this page,81
open-datasets-and-photos-040.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,81
open-datasets-and-photos-040.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,81
open-datasets-and-photos-041.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,54
open-datasets-and-photos-041.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,54
open-datasets-and-photos-041.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,54
open-datasets-and-photos-041.jpg,party,UNKNOWN_LABEL,"page says 'FROM', not in the vocabulary",54
open-datasets-and-photos-041.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,54
open-datasets-and-photos-042.jpg,total,OCR_LABEL_CORRUPTION,closest word/label pair 'AUNT~AMOUNT',101
open-datasets-and-photos-042.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,101
open-datasets-and-photos-042.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,101
open-datasets-and-photos-042.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,101
open-datasets-and-photos-042.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,101
open-datasets-and-photos-043.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,7
open-datasets-and-photos-043.jpg,tax,WRONG_FIELD_FAMILY,only total labels are on this page,7
open-datasets-and-photos-043.jpg,net,WRONG_FIELD_FAMILY,only total labels are on this page,7
open-datasets-and-photos-043.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,7
open-datasets-and-photos-043.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,7
open-datasets-and-photos-044.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,82
open-datasets-and-photos-044.jpg,tax,WRONG_FIELD_FAMILY,only total labels are on this page,82
open-datasets-and-photos-044.jpg,net,WRONG_FIELD_FAMILY,only total labels are on this page,82
open-datasets-and-photos-044.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,82
open-datasets-and-photos-044.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,82
open-datasets-and-photos-045.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,68
open-datasets-and-photos-045.jpg,tax,WRONG_FIELD_FAMILY,only total labels are on this page,68
open-datasets-and-photos-045.jpg,net,WRONG_FIELD_FAMILY,only total labels are on this page,68
open-datasets-and-photos-045.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,68
open-datasets-and-photos-045.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,68
open-datasets-and-photos-046.jpg,total,IMAGE_QUALITY_FAILURE,only 1 word rows carry characters,1
open-datasets-and-photos-046.jpg,tax,IMAGE_QUALITY_FAILURE,only 1 word rows carry characters,1
open-datasets-and-photos-046.jpg,net,IMAGE_QUALITY_FAILURE,only 1 word rows carry characters,1
open-datasets-and-photos-046.jpg,party,IMAGE_QUALITY_FAILURE,only 1 word rows carry characters,1
open-datasets-and-photos-046.jpg,date,IMAGE_QUALITY_FAILURE,only 1 word rows carry characters,1
open-datasets-and-photos-047.jpg,total,IMAGE_QUALITY_FAILURE,only 4 word rows carry characters,4
open-datasets-and-photos-047.jpg,tax,IMAGE_QUALITY_FAILURE,only 4 word rows carry characters,4
open-datasets-and-photos-047.jpg,net,IMAGE_QUALITY_FAILURE,only 4 word rows carry characters,4
open-datasets-and-photos-047.jpg,party,IMAGE_QUALITY_FAILURE,only 4 word rows carry characters,4
open-datasets-and-photos-047.jpg,date,IMAGE_QUALITY_FAILURE,only 4 word rows carry characters,4
open-datasets-and-photos-048.jpg,total,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-048.jpg,tax,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-048.jpg,net,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-048.jpg,party,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-048.jpg,date,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-049.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,52
open-datasets-and-photos-049.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,52
open-datasets-and-photos-049.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,52
open-datasets-and-photos-049.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,52
open-datasets-and-photos-049.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,52
open-datasets-and-photos-050.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,46
open-datasets-and-photos-050.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,46
open-datasets-and-photos-050.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,46
open-datasets-and-photos-050.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,46
open-datasets-and-photos-050.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,46
open-datasets-and-photos-051.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,73
open-datasets-and-photos-051.jpg,tax,WRONG_FIELD_FAMILY,only total labels are on this page,73
open-datasets-and-photos-051.jpg,net,WRONG_FIELD_FAMILY,only total labels are on this page,73
open-datasets-and-photos-051.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,73
open-datasets-and-photos-051.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,73
open-datasets-and-photos-052.jpg,total,LABEL_NORMALIZATION_FAILURE,page contains 'TOTAL' and the matcher refused it,80
open-datasets-and-photos-052.jpg,tax,UNKNOWN_LABEL,"page says 'VAT', not in the vocabulary",80
open-datasets-and-photos-052.jpg,net,LABEL_NORMALIZATION_FAILURE,page contains 'NET' and the matcher refused it,80
open-datasets-and-photos-052.jpg,party,WRONG_FIELD_FAMILY,only total labels are on this page,80
open-datasets-and-photos-052.jpg,date,WRONG_FIELD_FAMILY,only total labels are on this page,80
open-datasets-and-photos-053.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,27
open-datasets-and-photos-053.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,27
open-datasets-and-photos-053.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,27
open-datasets-and-photos-053.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,27
open-datasets-and-photos-053.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,27
open-datasets-and-photos-054.jpg,total,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
