Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,PO Catergory Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DE,DEFRA,19/11/2025,Exp - Purchase Of Goods/Services - Consultancy,PROPERTY STRATEGY - PLANNING,LEXICA HEALTH & LIFE SCIENCES CONSULTANCY LTD LEXICA,1003287396,"£35,233.02",CONSULTANCY,SE1 2ND,SUPPLIER,C25525,00000000,Expense,167765952
DE,DEFRA,13/11/2025,IA - POA & AUC - COST - ADDITIONS,BIM AND ASSET MANAGEMENT AND INNOVATIONS PROGRAMME,BRAMBLE HUB LTD,1003286850,"£40,562.22",INTANGIBLE ASSETS (ICIP CAPEX),SE1 7SP,SUPPLIER,C28315,DES00096,Asset,188679823
DE,DEFRA,14/11/2025,IA - POA & AUC - COST - ADDITIONS,BIM AND ASSET MANAGEMENT AND INNOVATIONS PROGRAMME,BRAMBLE HUB LTD,1003287049,"£56,845.56",INTANGIBLE ASSETS (ICIP CAPEX),SE1 7SP,SUPPLIER,C28315,DES00096,Asset,188679823
DE,DEFRA,13/11/2025,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,ABACO UK LTD,1003286883,"£184,756.55",INTANGIBLE ASSETS (ICIP CAPEX),EC4N1TX,SUPPLIER,C27326,DEP00577,Asset,
DE,DEFRA,28/11/2025,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,ALEXANDER MANN SOLUTIONS LIMITED (AMS),1003288270,"£143,041.00",INTANGIBLE ASSETS (ICIP CAPEX),EC2M 5TQ,SUPPLIER,C27708,DEP00577,Asset,GB744492612
DE,DEFRA,27/11/2025,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,ANIMAL HEALTH: PUBLIC HEALTH,ANIMAL & PLANT HEALTH AGENCY,2003005651,"£33,363.80",CAPITAL R&D,YO1 7PX,THIRD PARTY,DFP,DEA15253,Expense,8888000181
DE,DEFRA,12/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GIODP,FINYX CONSULTING LTD,1003286720,"£123,525.00",IT SERVICES/SOFTWARE/HARDWARE,YO10 5DG,SUPPLIER,C27685,DEP01075,Expense,133352933
DE,DEFRA,04/11/2025,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,PLANT HEALTH,THE TREE COUNCIL,1003285975,"£32,800.00",CAPITAL R&D,SE16 2XU,SUPPLIER,C22251,00000000,Expense,562973606
DE,DEFRA,28/11/2025,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,"FOOD AND FARMING STRATEGY, INNOVATION, SYSTEMS",A H D B CEREALS,1003288263,"£50,000.00",CAPITAL R&D,CV8 2TL,NDPB,C30084,DEA15188,Expense,GB791452415
DE,DEFRA,12/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,ACCENTURE (UK) LTD,1003286693,"£86,644.32",IT SERVICES/SOFTWARE/HARDWARE,EC3M 3BD,SUPPLIER,C26527,DEP01559,Expense,GB788629066
DE,DEFRA,27/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,ACCENTURE (UK) LTD,1003288238,"£358,107.67",IT SERVICES/SOFTWARE/HARDWARE,EC3M 3BD,SUPPLIER,C26527,DEP01559,Expense,GB788629066
DE,DEFRA,04/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GENESIS ONGOING IT ACTIVITY,EVIDEN,1003286010,"£85,521.30",IT SERVICES/SOFTWARE/HARDWARE,WV10 6UH,SUPPLIER,C15327,DEAGENAD,Expense,GB232327983
DE,DEFRA,27/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GENESIS ONGOING IT ACTIVITY,EVIDEN,1003288235,"£85,521.30",IT SERVICES/SOFTWARE/HARDWARE,WV10 6UH,SUPPLIER,C15327,DEAGENAD,Expense,GB232327983
DE,DEFRA,25/11/2025,PPE - POA & AUC (OWNED) - COST - ADDITIONS,PROPERTY PORTFOLIO DELIVERY (CAPITAL),ISS MEDICLEAN LTD,1003287945,"£55,928.67","PROPERTY, PLANT AND EQUIPMENT (PCIP CAPEX)",KT13 0SL,CIS SUPPLIER,C17577,DEX00007,Asset,
DE,DEFRA,28/11/2025,PPE - POA & AUC (OWNED) - COST - ADDITIONS,PROPERTY PORTFOLIO DELIVERY (CAPITAL),ISS MEDICLEAN LTD,1003288253,"£22,607.55","PROPERTY, PLANT AND EQUIPMENT (PCIP CAPEX)",KT13 0SL,CIS SUPPLIER,C17577,DE076700,Asset,
DE,DEFRA,19/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GROUP INFRASTRUCTURE & OPERATIONS,EVIDEN,1003287324,"£472,001.79",IT SERVICES/SOFTWARE/HARDWARE,WV10 6UH,SUPPLIER,C27702,DEP00334,Expense,GB232327983
DE,DEFRA,21/11/2025,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,EPR SCHEME ADMINISTRATOR,ACCENTURE (UK) LTD,1003287633,"£124,340.30",OFFICE SERVICES,EC3M 3BD,SUPPLIER,C27222,00000000,Expense,GB788629066
DE,DEFRA,17/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,WILTSHIRE COUNCIL,1003287114,"-£188,935.50",CAPITAL GRANTS,BA14 8JJ,SUPPLIER,C16703,DEA10041,Expense,GB501624882
DE,DEFRA,14/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,FOREST OF BOWLAND NATIONAL LANDSCAPE PARTNERSHIP,1003287023,"£207,642.75",CAPITAL GRANTS,PR1 8XJ,LOCAL AUTHORITIES,C16732,DEA10045,Expense,GB155712174
DE,DEFRA,07/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,NIDDERDALE NATIONAL LANDSCAPE (HOSTED BY NORTH YORKSHIRE COUNCIL),1003286342,"£190,353.75",CAPITAL GRANTS,DL7 8AL,LOCAL AUTHORITIES,C16845,DEA10054,Expense,259 1077 49
DE,DEFRA,27/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,STAFFORDSHIRE COUNTY COUNCIL,1003288202,"£183,708.50",CAPITAL GRANTS,ST16 2DH,CUSTOMER,C21993,DEA10036,Expense,280061977
DE,DEFRA,27/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,WILTSHIRE COUNCIL,1003288116,"£342,184.00",CAPITAL GRANTS,BA14 8JJ,SUPPLIER,C22036,DEA10058,Expense,GB501624882
DE,DEFRA,28/11/2025,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,SCIENCE PROJECTS - MASTERPLAN / SCAH,LEXICA HEALTH & LIFE SCIENCES CONSULTANCY LTD LEXICA,1003288353,"£118,388.82",CAPITAL R&D,SE1 2ND,SUPPLIER,C30350,DE089050,Expense,167765952
DE,DEFRA,13/11/2025,IA - POA & AUC - COST - ADDITIONS,BIM AND ASSET MANAGEMENT AND INNOVATIONS PROGRAMME,LEXICA HEALTH & LIFE SCIENCES CONSULTANCY LTD LEXICA,1003286856,"£35,341.51",INTANGIBLE ASSETS (ICIP CAPEX),SE1 2ND,SUPPLIER,C25525,DES00096,Asset,167765952
DE,DEFRA,28/11/2025,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,SCIENCE PROJECTS - MASTERPLAN / SCAH,WSP UK LTD,1003288363,"£2,373,828.15",CAPITAL R&D,M15 4RP,CIS SUPPLIER,C25384,DE089067,Expense,GB 905 0549 42
DE,NE,12/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,CPWN NATIONAL TEAM,CORNWALL COUNCIL,1010141368,"£61,158.57",Grant-Capital Grant-Non Procurement-Local Authorities,TR1 3AY,THIRD PARTY,C26281,NE160886,Expense,132746770
DE,EA,03/11/2025,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT - FCRIP GRANTS,EA FCRM Dir-SA-Mgt,SUFFOLK COUNTY COUNCIL,1001649419,1536740,GRANTS - PROJECTS,IP1 2DH,SUPPLIER,,ENV0004340C,Expense,GB 1041 78791
DE,EA,03/11/2025,Exp - Purchase Of Goods/Services - Consultancy,EA FCRM Dir-PPD-East SE,WSP UK LTD,1001649512,116697.85,FEES AND COMMISSIONS,WC2A 1AF,CIS SUPPLIER,,,Expense,GB 905 0549 42
