Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Item Text, £ ,Postal Code
Department for Transport,Department for Transport,26/11/2025,TOCOpCosts(Pub),DG Rail Services Group,SE Trains Ltd,2000023401,2613 Wk3 HS1 Track Access Payment P13 SE Trains Lt," £20,794,977.80 ",SE1 2AU
Department for Transport,Department for Transport,26/11/2025,TOCOpCosts(Pub),DG Rail Services Group,SE Trains Ltd,2000023401,2611 Wk3 HS1 Track Access Payment P11 SE Trains Lt," £18,759,375.44 ",SE1 2AU
Department for Transport,Department for Transport,26/11/2025,TOCOpCosts(Pub),DG Rail Services Group,SE Trains Ltd,2000023401,2612 Wk3 HS1 Track Access Payment P12 SE Trains Lt," £18,759,375.44 ",SE1 2AU
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,WEST MIDLANDS TRAINS,2000021381,2609 Wk1 NRC_PCP Staff Cost_P2609 West Midlands Tr," £17,793,195.10 ",B4 6GA
Department for Transport,Department for Transport,20/11/2025,Research,"DG Aviation, Maritime & Security Group",INNOVATE UK,2000022744,#," £16,780,394.35 ",SN2 1UE
Department for Transport,National Highways,07/11/2025,TA Cost AUC - Programme,MAJOR PROJECTS,Balfour Beatty Civil Engineering Limited,1053245,RIS 1 Schemes," £15,120,141.32 ",SW1V 1LQ
Department for Transport,High Speed Two (HS2) Limited,19/11/2025,AUC - Phase 1,AUC - 000000,ALIGN JOINT VENTURE,#,MWCC C1 Align PBA PO," £14,367,192.60 ",#
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,WEST MIDLANDS TRAINS,2000021381,2609 Wk1 NRC_PCP Rolling Stock Cost_P2609 West Mid," £13,636,204.87 ",B4 6GA
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,WEST MIDLANDS TRAINS,2000021381,2609 Wk1 NRC_PCP Infrastructure Charges_P2609 West," £12,523,613.14 ",B4 6GA
Department for Transport,Department for Transport,13/11/2025,Cap Research-CG,DG Road Transport Group,TECHNOLOGY STRATEGY BOARD,2000022082,ZEHID R&D 25-26 to Q2 grant payment," £7,862,764.89 ",SN2 1JF
Department for Transport,Department for Transport,06/11/2025,TOCRevenue(Pub),DG Rail Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000021376,2607 Wk1 GTR_NRC_PCPJRev GOVIA THAMESLINK RAILWAY," £5,138,278.88 ",EC3R 8AJ
Department for Transport,National Highways,13/11/2025,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,Balfour Beatty Civil Engineering Limited,1053601,RIS 2 Schemes," £5,085,116.26 ",SW1V 1LQ
Department for Transport,National Highways,24/11/2025,TA Cost AUC - Programme,MAJOR PROJECTS,Balfour Beatty Civil Engineering Limited,1056623,RIS 1 Schemes," £4,042,474.41 ",SW1V 1LQ
Department for Transport,National Highways,11/11/2025,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LIMITED,1053431,Feasibility," £3,972,999.85 ",WD3 9SW
Department for Transport,High Speed Two (HS2) Limited,21/11/2025,AUC - Phase 1,AUC - 000000,SKANSKA COSTAIN STRABAG S1 JOINT,#,"Plant, Equipment and Services."," £3,125,164.59 ",#
Department for Transport,Department for Transport,06/11/2025,TOCRevenue(Pub),DG Rail Services Group,GREAT WESTERN RAILWAY,2000021368,2607 Wk1 GWR_NRC_PCPJREVENUE_P2607 FIRST GREATER W," £2,881,151.05 ",SN1 1HL
Department for Transport,Department for Transport,06/11/2025,Capital Subs To Tocs,DG Rail Services Group,GREAT WESTERN RAILWAY,2000021368,2609 Wk1 GWR_NRC_PCPCAPEX_P2609 FIRST GREATER WEST," £2,633,701.53 ",SN1 1HL
Department for Transport,Department for Transport,20/11/2025,Research,"DG Aviation, Maritime & Security Group",INNOVATE UK,2000022744,#," £2,540,536.02 ",SN2 1UE
Department for Transport,National Highways,11/11/2025,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,SKANSKA CONSTRUCTION UK LIMITED,1053441,RIS 2 Schemes," £2,238,660.94 ",WD3 9SW
Department for Transport,Department for Transport,20/11/2025,Research,"DG Aviation, Maritime & Security Group",INNOVATE UK,2000022744,#," £1,856,302.98 ",SN2 1UE
Department for Transport,Department for Transport,06/11/2025,TOCRevenue(Pub),DG Rail Services Group,TRANSPORT UK EAST MIDLANDS LIMITED,2000021385,2607 Wk1 EMR_NRC_PCPJRev_P2607 Transport UK East M," £1,422,672.95 ",EC4A 3AG
Department for Transport,Department for Transport,06/11/2025,Capital Subs To Tocs,DG Rail Services Group,CHILTERN RAILWAYS,2000021367,2609 Wk1 CHT NRC PCPCost - Capex THE CHILTERN RAIL," £1,334,270.00 ",HP19 8EZ
Department for Transport,Department for Transport,06/11/2025,Capital Subs To Tocs,DG Rail Services Group,TRANSPORT UK EAST MIDLANDS LIMITED,2000021385,2609 Wk1 EMR_NRC_ICPCapex_P2609 Transport UK East," £912,000.00 ",EC4A 3AG
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,CHILTERN RAILWAYS,2000021367,2607 Wk1 CHT NRC ECP - Opex THE CHILTERN RAILWAY C," £625,217.78 ",HP19 8EZ
Department for Transport,Department for Transport,06/11/2025,Capital Subs To Tocs,DG Rail Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000021376,2609 Wk1 GTR_NRC_PCPCapex GOVIA THAMESLINK RAILWAY," £570,714.29 ",EC3R 8AJ
Department for Transport,High Speed Two (HS2) Limited,19/11/2025,Input VAT,AUC - 000000,SKANSKA COSTAIN STRABAG S1 JOINT,#,Cert 70 MWCC South," £543,223.46 ",#
Department for Transport,High Speed Two (HS2) Limited,14/11/2025,Business Services,P11000 - Project Client,NATIONAL HIGHWAYS LIMITED,#,NH External Suppliers Resource Costs Q2 2025/26," £535,189.75 ",#
Department for Transport,National Highways,12/11/2025,TA Cost AUC - Roadside Tech,OPERATIONS DIRECTORATE,Connect Plus (M25) Limited,APC217620,Renewals of Technology," £535,026.74 ",EN6 3NP
Department for Transport,National Highways,13/11/2025,PFI Service Payments,OPERATIONS DIRECTORATE,Connect Plus (M25) Limited,1053621,Operate Roads PFI Service Payments," £457,932.69 ",EN6 3NP
Department for Transport,High Speed Two (HS2) Limited,14/11/2025,Business Services,P11000 - Project Client,NATIONAL HIGHWAYS LIMITED,#,NH Staff Resource Costs for Q2 2025/26," £244,189.25 ",#
